FacilityName,CSV_Latitude,CSV_Longitude,Latitude,Longitude,Business_Status,Is_Accurate
A.M.E Zion Clinic,7.40801,-1.96317,7.4078288,-1.9623963,OPERATIONAL,true
Abenkyiman Clinic,6.46312,-1.58592,6.4703861,-1.6388538,OPERATIONAL,false
Aboabo Health Centre,6.22393,-1.34982,6.2239,-1.3498,OPERATIONAL,true
Aboabogya Health Centre,6.84177,-1.61098,6.8418668,-1.6109961,OPERATIONAL,true
Aboaso Health Centre,6.84177,-1.61098,6.808160399999999,-1.5396604,OPERATIONAL,false
Aboffour Health Centre,7.12986,-1.73294,6.946637099999999,-1.6674384,OPERATIONAL,false
Abuakwa Maternity Home,7.0,-2.0,6.7265134,-1.7288396,OPERATIONAL,false
Aburaso Methodist clinic,6.66133,-1.67662,6.661199,-1.6767047,OPERATIONAL,true
Achiase Health Centre,6.45543,-1.31004,6.7223203,-1.4694431,OPERATIONAL,false
Adidwan Health Centre,7.25163,-1.40278,7.251599999999999,-1.4028,OPERATIONAL,true
Adimposo CHPS,6.33659,-1.92588,6.3363996,-1.9261465,OPERATIONAL,true
Adom Hospital,6.61879,-1.19202,6.607823799999999,-1.2058015,OPERATIONAL,false
Adom Maternity Home,6.88364,-1.87334,6.2968394,-1.523047,OPERATIONAL,false
Adwumakase Kese Health Centre,6.80813,-1.53933,6.8153394,-1.5961692,OPERATIONAL,false
Afamaso Maternity Home,6.94912,-1.50873,7.0591789,-1.3970055,OPERATIONAL,false
Aframso Health Centre,7.14472,-1.12162,7.144699999999999,-1.1216,OPERATIONAL,true
Afrancho Health Centre,6.81527,-1.59589,6.7779925,-1.6439084,OPERATIONAL,false
Agogo Presby Hospital,6.79618,-1.08529,6.7951983,-1.0854999,OPERATIONAL,true
Agona Health Centre,6.93605,-1.49759,6.9361225,-1.4975872,OPERATIONAL,true
Agyenkwa Clinic,6.67522,-1.38159,6.6752316,-1.3814803,OPERATIONAL,true
